description,hs_code,norms,occurrence_count,total_quantity,total_cif_value,sample_licenses,current_item_names,suggested_item_name
FOOD COLOUR CARAMEL,17029040,E5,28,2091.940,0.00,"0311028890, 0311031416, 0311034269, 5211009407, 0311036422",FOOD COLOUR,
Barytes,25111090,E126,27,36422.670,0.00,"0910029851, 0310627690, 0310645313, 0910049713, 0310734335",,
Sodium Nitrate,31025000,E126,27,26405.720,0.00,"0310627690, 0310645313, 0910049713, 0310734335, 0910051046",SODIUM NITRATE,
Relevant Essential Oils Maximum Percentage of 51% &  reflective index of 1% & above but not more than 2%,33000000,E1,27,48650.620,0.00,"0310741564, 0310729488, 0310732839, 0310725206, 0310710902",ESSENTIAL OIL,
brake assembly (prime and/ or secondary ITC HS : 8708,87083000,C969,27,13972.000,0.00,"1210008500, 1210009417, 1210009435, 1210008490, 1210008372",BRAKE ASSEMBLY,
Starch - Edible Starch (HS Code -1108),11081100,E5,27,33723.960,0.00,"0311020049, 0311020815, 0311023101, 0311025201, 0311025117",STARCH 1108,
"Packing Materials - Polypropylene Film Grade, Aluminium Foil (HS Code 7607)",39021000,E1,27,308268.840,0.00,"0311030640, 0311030637, 0311030812, 0311030814, 0311031358","ALUMINIUM FOIL, PP",
(a) Clay 25080000 (b) Selenium 28049000 (c) Nucleating Agents (Titanium Dioxide other than Rutile Garde) 32061110 (d) Barium carbonate 28366000,32061110,A3627,27,7003548.990,0.00,"3411005750, 3411005748, 3411005781, 5211011095, 5211011147",TITANIUM DIOXIDE,
EMULSIFIER,29157030,E5,26,27270.140,0.00,"3010067626, 3010067887, 3010105333, 3010105334, 0311004337",EMULSIFIER - E5,
relevant food colour,32000000,E5,26,789.090,442.48,"0310736178, 0310702560, 0310740542, 0310709650, 0310738501",FOOD COLOUR,
dietary fibre,23040090,E5,26,244036.060,1011.63,"0310736178, 0310702560, 0310740542, 0310709650, 0310738501",DIETARY FIBRE,
'O' Ring Net to Net,40169320,C969,26,125629.200,0.00,"1210008500, 1210009417, 1210009435, 1210008490, 1210008324",'O' Ring,
Edible Vegetable Oils such as Mustard Oil / Sunflower Oil /Palmolein Oil / Groundnut Oil / Fats (HSN 21069092) / Frying Fat - (PKO HSN 1516) Palm Kernel oil / Canola Oil (HS Code 1514 )/Margarine,15132110,E132,26,1110639.760,0.00,"0311037979, 0311038022, 0311038286, 5211010625, 0311038492","EDIBLE VEGETABLE OIL - E132, PALM KERNEL OIL",
"Natural Flavours like Citric Acid, Black Pepper (HSN 0904), Cardamom (HSN 0908), Asafoetida (HSN 1301), Cloves (HSN 0907), Nutmeg (HSN 0908), Tomato Powder (HSN 0712), Cheese (HSN 0406), Chilli Flakes (HSN 0904)",09041130,E132,26,237951.360,0.00,"0311037979, 0311038022, 0311038286, 5211010625, 0311038492","CHEESE, FOOD FLAVOUR - E132",
EMULSIFIER / STABILIZING AGENT,04000000,E5,25,67062.890,1.00,"0310687969, 0310727816, 0310732431, 0310743303, 0310742587",EMULSIFIER - E5,
vegetable shortening/cream/fats/spray fats,15000000,E5,25,1370973.520,0.00,"0310736178, 0310740542, 0310709650, 0310738501, 0310736179","RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
anti oxidant,38123090,E5,25,770.830,0.00,"0310736178, 0310702560, 0310740542, 0310709650, 0310738501",ANTI OXIDANT,
milk & milk products,19019090,E5,25,539600.030,0.00,"0310736178, 0310702560, 0310740542, 0310738501, 0310709650",,
clutch assembly (including split/ torque type ITC HS : 8708,87089300,C969,25,13761.000,0.00,"1210008500, 1210009435, 1210009417, 1210008490, 1210008324",CLUTCH ASSEMBLY,
synchropacks and/or synchroniser,87089900,C969,25,13519.000,0.00,"1210008500, 1210009417, 1210009435, 1210008490, 1210008324",SYNCHROPACKS,
(a) Magnesium Oxide 25199040 (b) Soda Ash 28362010 (c) Sodium Nitrate 28342990 (d) Potash 28152000 (e) Potassium Nitrate 28342100,28362010,A3627,25,17829840.910,0.00,"3411005749, 3411005781, 5211011095, 5211011096, 5211011147","SODA ASH, SODIUM NITRATE",
(a) Silica (other than Fumed Silica) 28110000 (b) Borax 28401900 (c) Phosphoric Acid 28092010 (d) Arsenic Trioxide 28112920 (e) Rutile 32061190 / 32061110 [Quantity of Borax do not exceed 10%],32061190,A3627,25,53036846.820,64792338.28,"3411005890, 5211011493, 5211011817, 5211012004, 5211012095",,
Stabilizing Agent / Lubricants (Food Grade),29630000,E1,24,3251.180,0.00,"0310664391, 0310647753, 0310647752, 0310647815, 0310661583",STABILIZING AGENT - E1,
RELEVANT FOOD COLOUR,21000000,E5,24,5075.750,2.00,"0310687969, 0310736984, 0310702173, 0310776850, 0310776851",FOOD COLOUR,
EMULSIFIER / STABILIZING AGENT,38000000,E5,24,7459.250,0.00,"0310736178, 0310702560, 0310740542, 0310738501, 0310736179",EMULSIFIER - E5,
viii) Dietary Fibre (Wheat Bran),23023000,E5,24,1376588.740,0.00,"0910060696, 0910058234, 0910059761, 0910061782, 0910057477",DIETARY FIBRE,
Enulsifier /Stabilizer/Glazing Agent/ Binders / Thickners-Starch (Item as per PFA Act 1955) Xanthan Gum,39139090,E1,24,5700.360,0.00,"0311039992, 0311040045, 0311042064, 0311042794, 0311043117",STARCH 3505,
MAIDA/ATTA/FLOUR,11000000,E5,23,6586958.870,0.00,"0310525017, 0310520938, 0310499297, 0310514838, 0310519932",WHEAT FLOUR,
LEAVENING AGENT,29000000,E5,23,175455.050,0.00,"0310525017, 0310520938, 0310499297, 0310514838, 0310520657",LEAVENING AGENT,
EMULSIFIER,38000000,E5,23,58602.850,0.00,"0310525017, 0310520938, 0310499297, 0310514838, 0310520657",EMULSIFIER - E5,
relevant food flavour,09083110,E1,23,6642.070,0.00,"0310746675, 0310729629, 0310685151, 0310740821, 0310721349",FOOD FLAVOUR - E1,
Citric acid /Tartaric acid/Malic acid (Food Grade relevant) Mono Hydride (BP).,29000000,E1,23,240642.050,0.00,"0310741564, 0310729488, 0310732839, 0310725206, 0310710902",CITRIC ACID / TARTARIC ACID - E1,
milk & milk products milk solids,04041020,E5,23,2679378.050,0.00,"0310832985, 0310832880, 0310832983, 0310833198, 0310833197",SWP,
relevant food colour,32030090,E5,23,4602.830,0.00,"3010095933, 3010104294, 3010104292, 3010104360, 3010104358",FOOD COLOUR,
Starch-Edible Starch (HS Code-1108),11081100,E5,23,28705.560,0.00,"0311036758, 0311037036, 0311037037, 0311037035, 0311037322",STARCH 1108,
FOOD COLOUR,32000000,E1,22,603.540,0.00,"0310664391, 0310647752, 0310647753, 0310647815, 0310662215",FOOD COLOUR,
Electro Cast Refractories,70109000,E126,22,10585.120,0.00,"0910039211, 0310627690, 0310645313, 0310734335, 0310702750",,
wheat flour,11090000,E5,22,13159244.120,5274800.54,"0510336995, 0910052275, 0910054277, 0910052935, 0910054101","WHEAT FLOUR, WHEAT GLUTEN",
iv) Starch (Maize Starch),11081200,E5,22,334022.930,0.00,"0910059761, 0910059715, 0910061031, 0910061780, 0910058234","STARCH 1108, STARCH 3505",
c) Paper Board (100 to 300 GSM),48101990,E5,22,1723075.660,0.00,"0910058234, 0910059760, 0910059714, 0910052936, 0910061030",PAPER BOARD,
Relevant Food Grade Flavours,08061000,E1,22,12538.750,1.00,"0310817639, 0310827444, 0310829058, 0310829056, 0310829894",FOOD FLAVOUR - E1,
iii) RELEVANT FOOD FLAVOURS (ORANGE),33021090,E1,22,4908.860,3.01,"0310828013, 0310828052, 0310829979, 0310829957, 0310830088",FOOD FLAVOUR - E1,
CITRIC ACID (FOOD GRADE RELEVANT) SUBJECT TP ACTUAL USER CONDITION,29181400,E1,22,149111.320,20994.04,"0310829979, 0310829957, 0310830463, 0310830088, 0310831830",CITRIC ACID / TARTARIC ACID - E1,
Essential Oil (HS Code 3301) Edible Grade ( Max percentage of 5% reflective index of 1% and above but not more than 2%),33011200,E1,22,31627.340,0.00,"0311031455, 0311031454, 0311031471, 0311031513, 0311031514",ESSENTIAL OIL,
"HOT ROLLED STEEL (SHEETS/WIDE COILS) -7208, 7209",72089000,C969,22,916868.860,0.00,"3011005104, 3011005583, 3011005707, 3011005706, 3011005756",HOT ROLLED STEEL,
ANTI OXIDANT,29000000,E5,21,3292.720,2.00,"0310687969, 0310736984, 0310702173, 0310776851, 0310776850",ANTI OXIDANT,
cane sugar,17011100,E5,21,1223883.570,22676.59,"0310736178, 0310740542, 0310738501, 0310736179, 0310738215",SUGAR,
Biscuit Additives and ingredients:-Leavening Agent  / Dough Conditioner,29000000,E5,21,26951.410,0.00,"0310736178, 0310740542, 0310709650, 0310738501, 0310736179",LEAVENING AGENT,
emulsifier,29232010,E5,21,31220.960,0.00,"0310835517, 0310836589, 3010095933, 3010104358, 3010104360",EMULSIFIER - E5,
Food Flavours - Fruit Flavours (Edible Grade),09083110,E1,21,3575.260,0.00,"0311030331, 0311030534, 0311030617, 0311031107, 0311031453",FOOD FLAVOUR - E1,
Other Confectionery Ingredients :- Fruit & Nuts Products,08029900,E1,21,233165.480,0.00,"0311033194, 0311038963, 0311038938, 0311038965, 0311039239",OTHER CONFECTIONERY INGREDIENTS - E1,
Other Confectionery Ingredients- Fruits & nut products.,08029900,E1,21,287789.830,0.00,"0311041308, 0311041306, 0311041340, 0311041341, 0311042264",OTHER CONFECTIONERY INGREDIENTS - E1,
SUGAR,17000000,E5,20,1820910.710,0.00,"0310525017, 0310520938, 0310499297, 0310514838, 0310519932",SUGAR,
Essential Oils Maximum Percentage of 51% & Reflective index of 1%  & above but not more than 2%,33000000,E1,20,27583.960,0.00,"0310664391, 0310647752, 0310647753, 0310647815, 0310662215",ESSENTIAL OIL,
Soda Ash ( Dense / Light ),28362090,E126,20,661667.100,0.00,"0910039211, 0310627690, 0310645313, 0310734335, 0310716679",SODA ASH,
STARCH,11000000,E5,20,175147.920,1.00,"0310687969, 0310727816, 0310732431, 0310743303, 0310742587",STARCH 3505,
biscuits additives & ingredients,04000000,E5,20,0.170,1.01,"0310694983, 0310742587, 0310743303, 0910055750, 0910056126",BISCUITS ADDITIVES & INGREDIENTS - E5,
Dietary Fibre (HS Code 0802),23023000,E5,20,422214.600,0.00,"5611000700, 5611000702, 0311010273, 0311010790, 0311010834",DIETARY FIBRE,
Paper Board (100 to 300 GSM),48101990,E5,20,264638.580,0.00,"0811003880, 0811004117, 3010083908, 3010088740, 0911008223",PAPER BOARD,
Fats- Edible Vegetable Oil / Palmolein oil / PKO (Code 1513 / 1516),15119020,E5,20,2299526.630,0.00,"0311017841, 0311017843, 0311017886, 0311017937, 0311017936","PALM KERNEL OIL, RBD PALMOLEIN OIL",
clutch assembly (including split/ torque type),87083000,C969,20,2630.000,0.00,"3011003101, 3011003417, 3011003509, 3011003602, 3011003723",CLUTCH ASSEMBLY,
Starch - Edible Grade,11081100,E5,20,20220.430,0.00,"0311021572, 0311021840, 0311021411, 0311022855, 0311022939","STARCH 1108, STARCH 3505",
Anti Oxidant (Citric Acid- Monohydrate Food Grade 99.5% min ),29181400,E5,20,948.600,0.00,"0311024762, 0311026999, 0311027572, 0311028815, 0311029850",ANTI OXIDANT,
Milk and milk products (0406) / Milk Solids (3502),35022000,E5,20,554947.110,0.00,"0311025168, 0311025300, 0311029215, 0311030002, 0311038028",CHEESE,
Emulsifier / Stabilizer etc.,13023990,E5,20,3714.510,0.00,"0311032829, 0311033824, 0311035839, 0311035840, 0311035873",EMULSIFIER - E5,
ALLOY STEEL RODS /BAR OF CARBON CONTENT LESS THAN 2 perecent HS CODE 7228,72281090,C969,20,4024880.920,0.00,"3011005857, 3011005875, 3011005951, 3011006252, 3011006253",ALLOY STEEL,
Citric Acid monohydrate Food Grade 99.5% minimum,29181400,E1,20,137324.010,0.00,"0311038938, 0311038939, 0311038986, 0311040024, 0311042172",CITRIC ACID / TARTARIC ACID - E1,
Emulsifier:- Starches,29157030,E1,20,5629.050,0.00,"0311041341, 0311042264, 0311042265, 0311042371, 0311015494","EMULSIFIER - E1, STARCH 3505",
Sugar,17021100,E1,19,3517550.440,0.00,"0310664391, 0310647815, 0310647753, 0310647752, 0310661583",SUGAR,
Liquid Glucose / Fruit Concentrate maximum limit should be 15 Kgs,20090000,E1,19,1448800.120,0.00,"0310664391, 0310647815, 0310647753, 0310647752, 0310662215","FRUIT JUICE - E1, LIQUID GLUCOSE",
vegetable shortening/cream/fats/spray fats,04000000,E5,19,6030357.260,38000.00,"0310727816, 0310732431, 0310694983, 0310743303, 0310742587","RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
Relevant (Food Flavour / Flavouring agent / Flavour improvers),13000000,E5,19,75738.100,0.00,"0310736178, 0310740542, 0310709650, 0310738501, 0310736179",FOOD FLAVOUR - E5,
PACKING MATERIAL :-PAPER & PAPPER BOARD (GSM 150 TO 350)(LDPE/HDPE/PP)AS PER PACKING POLICY,48000000,E5,19,376703.260,0.00,"0310736178, 0310740542, 0310738501, 0310736179, 0310738215","HDPE, LDPE, PAPER BOARD, PP",
relevant essential oils orange,33011200,E1,19,32825.530,0.00,"0310746675, 0310737512, 0310742814, 0310739587, 0310731837",ESSENTIAL OIL,
Cold Rolled Steel (Sheets/ Wide Coils),72090000,C969,19,2543470.100,0.00,"3010105305, 3010105275, 3010105325, 3010105324, 3010105277",COLD ROLLED STEEL,
PACKING MATERIAL :- POLYPROPYLENE FILM GRADE,39021000,E1,19,197567.690,0.00,"0311018077, 0311018170, 0311018206, 0311018481, 0311018477",PP,
"Chickpeas (HSN 07132090), lentils (HSN 0713), Cereal Flakes( HSN 1104), Green Peas (HSN  07131000)",07131020,E132,19,1748004.690,7555700.78,"5211006995, 0311030280, 5211007496, 0311035517, 0311037523",CEREALS FLAKES,
Packing Material - PP,39021000,E5,19,1639189.230,0.00,"0311038011, 5211011262, 0311039990, 5211012279, 0311044946",PP,
SKIMMED MILK POWDER,08130000,E5,18,55775.150,0.00,"0310525017, 0310520938, 0310514838, 0310520657, 0310529615",,
internal combustion engine completeor,84082020,C969,18,7337.000,5838048.22,"3010081118, 3010082070, 3010083836, 3010080160, 3010085169",INTERNAL COMBUSTION ENGINE,
Relevant Hot Rolled/Cold Rolled Steel (Sheets/Wide Coils) (ITC HS: 72091590/7209/7208),72092590,C969,18,8779944.780,27898953.20,"1210008500, 1210009435, 1210009417, 1210008390, 1210008324","COLD ROLLED STEEL, HOT ROLLED STEEL",
ii) EMULSIFIER (GMS),29157030,E5,18,16640.170,1.00,"0910061490, 0910061780, 0910061782, 0910061781, 0310830441",EMULSIFIER - E5,
PACKING MATERIAL :- PP,39020000,E1,18,682479.100,68504.27,"0310817639, 0310827444, 0310829056, 0310829058, 0310833047",PP,
PACKING MATERIAL :- PP,39021000,E1,18,1047015.470,0.00,"0310831630, 0310837960, 0310838475, 0311005542, 0311008507",PP,
Emulsifier - GMS,15200000,E5,18,4212.420,0.00,"0311024780, 0311024891, 0311027210, 0311028539, 0311029215",EMULSIFIER - E5,
Intermediates namely:-(a) Aluminium Oxide 28182000 (b) Zinc Oxide 28170010 (c) Zirconium Oxide 28256010,28170010,A3627,18,953634.450,0.00,"5211006846, 5211007009, 5211007327, 5211007389, 5211007598","ALUMINIUM OXIDE, ZINC OXIDE, ZIRCONIUM OXIDE",
Food Flavours - Fruit Flavour,09083190,E1,18,4287.500,0.00,"5611002535, 0311031358, 0311041019, 0311041018, 0311042451",FOOD FLAVOUR - E1,
BARYTES,25111000,,17,227847.520,0.00,"0310642386, 0310648049, 0310661031, 0310779459, 0310779456",,
FRUIT / COCO POWDER,08000000,E5,17,159708.900,8250.00,"0310687969, 0310702173, 0310740883, 0310701844, 0310740591",FRUIT/COCOA - E5,
relevant food colour,09102090,E1,17,544.890,0.00,"0310746675, 0310729629, 0310685151, 0310740821, 0310741899",FOOD COLOUR,
dietary fibre,11082000,E5,17,590098.420,0.00,"0310736984, 0310825085, 0310832494, 0310831992, 0310832269","DIETARY FIBRE, STARCH 1108",
oil pump,84133020,C969,17,8844.000,0.00,"1210009417, 1210009435, 1210008868, 1210008869, 1210009440",OIL PUMP,
Following Biscuit Additives & Ingredients : (Sl. No. 4 to 12) i) Leavening Agent/Dough Conditioner (Yeast),21021020,E5,17,84388.680,0.00,"0910061031, 0910058234, 0910058236, 0910060696, 0910059761",LEAVENING AGENT,
Milk & Milk products (Skimmed Milk Powder),04021010,E5,17,204935.510,14804.56,"0310827015, 0310827783, 0310831843, 0310829982, 0310835514",,
"Packing material : Polypropylene Film Grade , Paper & Paper Board , Aluminum Foil",39020000,E1,17,230799.270,91733.00,"1310049493, 0310835198, 0310835311, 1310049615, 1310049614","PAPER BOARD, PP",
Emulsifier (GMS),15200000,E5,17,5451.590,0.00,"0311013560, 0311021100, 0311021572, 0311021576, 0311021575",EMULSIFIER - E5,
Essential Oils:-Orange,33011200,E1,17,33608.520,0.00,"0311028488, 0311040958, 0311041308, 0311042583, 0311042863",ESSENTIAL OIL,
Anti oxidant Citric Acid Monohydrate Food Grade 99.5% min,29181400,E5,17,183.920,0.00,"0311029303, 0311032829, 0311035839, 0311035840, 0311035873",ANTI OXIDANT,
Packing Materials - Polypropylene Film Grade / Aluminium Foil (HS Code 7607),39021000,E1,17,185975.630,0.00,"0311030331, 0311030534, 0311030617, 0311021589, 0311030805","ALUMINIUM FOIL, PP",
EMULSIFIER/STABILIZER/GLAZING AGENT/BINDERS/THICKENERS-STARCH (ITEM AS PER PFA ACT 1955) XANTHAN GUM,39139090,E1,17,2625.040,0.00,"0311030617, 0311031107, 0311031358, 0311033122, 0311033179","EMULSIFIER - E1, STARCH 3505",
"Chickpeas (HSN 07132090), lentils (HSN 0713), Cereal Flakes( HSN 1104), Green Peas (HSN 07131000)",07131020,E132,17,1475060.400,6312879.66,"0311038022, 5211010625, 0311038492, 0311038975, 0311039568",CEREALS FLAKES,
AUTOMOTIVE BATTERY - 8507,85071000,C969,17,1343.000,0.00,"3011007968, 3011007978, 3011007977, 3011007975, 3011007976",AUTOMOTIVE BATTERY,
SUGAR,17010000,E1,16,2557343.940,0.00,"0310493058, 0310630708, 0310641469, 0310646062, 0310650527",SUGAR,
Flavours (other than saffron),13000000,E1,16,4238.190,0.00,"0310664391, 0310647753, 0310647752, 0310661583, 0310662899",FOOD FLAVOUR - E1,
ELECTRO CAST REFRACTORIES,69039090,,16,76504.110,0.00,"0310642386, 0310648049, 0310779459, 0310779456, 0310779452",,
Biscuit Additives and ingredients:-Leavening Agent  / Dough Conditioner,04000000,E5,16,118875.720,1.00,"0310727816, 0310736984, 0310776850, 0310776851, 0310734213",LEAVENING AGENT,
PACKAGING MATERIAL (A) PP/HDPE/LDPE/AND PAPER & PAPER BOARD WITH GSM OF PAPER 80-170 AND GSM OF PAPER BOARD 210-320,48109900,A3627,16,595611.020,0.00,"0310664659, 0310699148, 0310702804, 0310702806, 0310679842","HDPE, LDPE, PAPER BOARD",
"Relevant Alloy Steel Rods/Rounds/Billets (ITC HS : 72283029,72282000,72283019)",72284000,C969,16,7757312.690,0.00,"1210008500, 1210008390, 1210008324, 1210008456, 1210008284",ALLOY STEEL,
Cane Sugar (White Refined Cane Sugar),17019990,E5,16,8214586.220,0.00,"0910061031, 0910059714, 0910061030, 0910058236, 0910059761",SUGAR,
cane sugar,17011490,E5,16,3954521.040,5655.31,"0910060902, 0310823762, 0310826316, 0810145922, 0810145989",SUGAR,
vii) Fruit / Coco Powder (Cocoa Powder),18050000,E5,16,377056.550,138451.41,"0910057477, 0910057492, 0910059714, 0910058234, 0910059760",FRUIT/COCOA - E5,
(VII) COCO POWDER,18050000,E5,16,124386.110,5101.00,"0910061491, 0910061781, 0910061782, 0310823762, 0310826316",FRUIT/COCOA - E5,
a) HDPE/PP/Granules Film Grade (HDPE Granules),39012000,E5,16,1899229.280,0.00,"0910057477, 0910057492, 0910058234, 0910061031, 0910061030",HDPE,
liquid glucose,17020000,E1,16,6925005.980,13760.74,"0310824203, 0310824205, 0310832398, 0310832464, 0310832433",LIQUID GLUCOSE,
alternator,,C969,16,1117846.000,0.00,"3011004633, 3011004632, 3011004758, 3011004872, 3011004871",ALTERNATOR,
wiring hanrness,,C969,16,1229630.600,0.00,"3011004632, 3011004633, 3011004758, 3011004871, 3011004872",WIRING HANRNESS,
Food Flavour - Fruit Flavours (HSN Code-2009),20091100,E5,16,74308.200,0.00,"0311035047, 3111003827, 0311037035, 0311037234, 0311038028","FOOD FLAVOUR - E5, JUICE - E5",
Following Biscuit additives and Ingredients: (Sl.No.5 to 12),21021020,E5,16,0.160,0.00,"0911008222, 0911008223, 0911008248, 0911008255, 0911008256",,
Binders / Thickners /Starch / Xantham Gum / Stabilizer (HS Code 3912),39123919,E1,16,4480.680,0.00,"0311040983, 0311041020, 0311041130, 5211012836, 0311043118",STARCH 3505,
Other Confectionery ingredients: -fruits and nut products,08029900,E1,16,110689.310,0.00,"0311042485, 0311042486, 0311042837, 0311042864, 0311042863",OTHER CONFECTIONERY INGREDIENTS - E1,
"Food Additives as approved by FSSAI-Tocopherol (HSN 2936), Lecithin (HSN 2923), BHA (HSN 2909), TBHQ (HSN 2907), Methyl Cellulose (HSN 3912), Carboxy Methyl Cellulose (HSN 3912), Edible Strach (HSN 1108) Gellan Gum (HSN 3913),Salt (HSN 25010090)",13023100,E132,16,29868.990,0.00,"0311043426, 0311044762, 0311045542, 0311046298, 0311046315","RELEVANT ADDITIVES DESCRIPTION, STARCH 1108",
CITRIC ACID / TARTARIC ACID / MALIC ACID (FOOD GRADE)(ITEM AS PER ACT 1995),29180000,E1,15,94213.330,0.00,"0310664391, 0310647753, 0310647752, 0310647815, 0310661583",CITRIC ACID / TARTARIC ACID - E1,
